Lecce,#670E36
Everton,#010FCC
Villarreal,#005187
Southampton,#FF4500
Spezia,#CD5C5C
VfB Stuttgart,#FFD700
Wolfsburg,#F0E68C
Tottenham,#132257
Augsburg,#F9A602
Udinese,#1E90FF
Cremonese,#FF0000
Darmstadt,#00BFFF
Verona,#8A2BE2
Rayo Vallecano,#FF0000
Monza,#FF0000
Real Betis,#0BB363
Mainz 05,#FFFFFF
RasenBallsport Leipzig,#F4C430
Leicester,#003090
Las Palmas,#FFFF00
Hoffenheim,#0A5D1E
Freiburg,#000000
Mallorca,#E20613
Real Sociedad,#0067B1
Bournemouth,#DA291C
Frosinone,#FFD700
Sassuolo,#006400
Luton,#FF9408
Cadiz,#CF0015
Borussia Dortmund,#FFD700
Borussia M.Gladbach,#000000
Wolverhampton Wanderers,#FDB913
Juventus,#000000
Sampdoria,#0000FF
Espanyol,#007FC8
Almeria,#EF3340
Atalanta,#008000
Empoli,#FF0000
Sheffield United,#EE2737
Granada,#A61B2B
Nottingham Forest,#DD0000
Inter,#0068B3
Manchester United,#F4320C
Genoa,#000000
Schalke 04,#003399
Bayern Munich,#DC143C
Fiorentina,#4B0082
Alaves,#0761AF
Leeds,#FFCD00
Liverpool,#BE0119
FC Heidenheim,#008000
Atletico Madrid,#272E61
Hertha Berlin,#0000FF
Girona,#FFD700
Osasuna,#0A346F
Aston Villa,#670E36
Napoli,#00AEEE
Sevilla,#F43333
AC Milan,#000000
Barcelona,#A50044
Werder Bremen,#008000
Newcastle United,black
Chelsea,#1E488F
Union Berlin,#D00027
Manchester City,#82CAFC
Athletic Club,#EE2523
Bayer Leverkusen,#E51400
Brentford,#8C000F
Torino,#660000
Salernitana,#000000
Brighton,#0485D1
Elche,#FFD700
Real Madrid,#FEBE10
Bochum,#1A3F20
Lazio,#C4CED4
Crystal Palace,#CB0162
Cagliari,#0E2240
Roma,#7F0000
Eintracht Frankfurt,#FF0000
Real Valladolid,#921B88
Valencia,#FFDF1C
West Ham,#7A263A
Arsenal,#DB0007
Getafe,#005999
Bologna,#1C68AC
Celta Vigo,#8AC3EE
FC Cologne,#CE1141
Fulham,black
Burnley,#80013F
